DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Zone 1,Zone 2,Zone 3
01/01/2017 03:30,29.25,62.97,6.72,271.78,360.01,35358.33,28851.07,24406.43
01/01/2017 03:40,29.97,76.23,5.2,453.24,349.56,35984.5,29516.36,22947.05
01/01/2017 03:50,27.08,65.22,7.72,312.12,238.97,36134.29,29013.55,23482.09
01/01/2017 04:00,28.9,71.39,5.2,58.45,240.21,36374.53,29580.01,23044.52
01/01/2017 04:10,30.22,79.64,8.52,469.92,266.01,35648.55,28935.3,22940.57
01/01/2017 04:20,27.67,74.96,5.52,313.85,70.15,34820.27,29052.82,23543.88
01/01/2017 04:30,30.66,69.67,5.61,167.45,365.76,35101.76,27365.48,22798.87
01/01/2017 04:40,28.6,71.89,8.77,69.64,167.51,36109.47,29655.43,23102.21
01/01/2017 04:50,29.08,79.26,4.03,397.01,153.26,34014.39,29142.25,23091.82
01/01/2017 05:00,28.28,72.58,1.34,310.04,207.57,35109.11,29590.76,22443.41
01/01/2017 05:10,32.97,77.68,0.29,266.73,18.79,34237.31,26387.51,23373.61
01/01/2017 05:20,28.98,77.17,7.55,446.95,66.51,34531.14,30272.62,22596.46
01/01/2017 05:30,26.6,74.01,6.2,394.3,295.21,35634.65,28373.29,22160.27
01/01/2017 05:40,30.03,88.3,7.04,75.84,33.12,34383.74,29240.66,22837.49
01/01/2017 05:50,25.58,81.04,2.13,155.86,241.26,34058.8,27377.96,21868.34
01/01/2017 06:00,28.05,68.02,1.36,124.24,98.14,32456.24,28543.09,22306.56
01/01/2017 06:10,23.29,79.33,0.15,371.97,155.72,34350.86,27040.96,22157.29
01/01/2017 06:20,24.1,75.33,3.51,16.77,115.48,34024.24,27203.99,22678.79
01/01/2017 06:30,26.67,83.12,5.9,284.94,142.27,35302.69,29042.78,22168.48
01/01/2017 06:40,27.25,75.1,3.92,381.23,287.62,32579.83,27157.54,21717.55
01/01/2017 06:50,25.59,78.67,4.37,438.38,118.85,32843.41,27273.35,22065.22
01/01/2017 07:00,24.47,81.93,9.04,171.04,226.56,32599.84,27576.42,22244.4
01/01/2017 07:10,23.53,83.88,3.48,410.63,190.42,33644.73,27050.37,21575.05
01/01/2017 07:20,20.59,73.67,5.14,55.32,265.47,31680.57,26541.03,21071.73
01/01/2017 07:30,21.52,78.1,7.84,423.23,374.73,31756.39,26473.86,20099.32
01/01/2017 07:40,21.42,77.49,3.97,63.74,293.03,31780.88,27861.12,20064.72
01/01/2017 07:50,23.84,76.66,6.22,198.64,85.98,31050.53,25645.04,20335.22
01/01/2017 08:00,21.79,88.8,8.62,398.65,12.47,30104.98,25602.01,19965.14
01/01/2017 08:10,16.95,82.02,9.5,74.96,104.91,30430.8,26029.9,20029.85
01/01/2017 08:20,20.49,73.69,1.47,114.63,238.03,30994.7,25821.28,19986.63
01/01/2017 08:30,18.44,84.57,9.27,361.13,20.57,28579.22,25634.21,20081.26
01/01/2017 08:40,17.23,90.56,4.92,360.02,198.55,29424.95,24944.57,19532.89
01/01/2017 08:50,19.19,85.06,2.58,320.57,238.74,28280.92,23270.43,19680.52
01/01/2017 09:00,19.41,72.22,4.59,346.97,133.7,29869.21,25246.08,19243.18
01/01/2017 09:10,18.61,77.3,9.8,271.36,308.36,26849.39,22780.98,17838.26
01/01/2017 09:20,14.48,85.95,4.93,125.9,42.64,27518.55,23704.09,18282.88
01/01/2017 09:30,14.96,75.94,3.29,172.85,30.06,28167.24,22628.6,18587.57
01/01/2017 09:40,15.69,81.54,6.33,90.8,291.28,29076.93,22957.81,17781.02
01/01/2017 09:50,16.44,83.03,2.4,454.23,198.2,27176.94,23057.16,18705.57
01/01/2017 10:00,13.01,74.33,0.76,291.7,275.36,26429.77,22845.07,19109.44
01/01/2017 10:10,13.11,78.45,1.29,200.43,173.93,28620.43,22728.96,18774.82
01/01/2017 10:20,10.8,62.32,1.28,231.0,98.56,25058.56,23496.23,17775.88
01/01/2017 10:30,10.18,73.15,1.52,473.64,327.64,24088.99,22393.07,18667.12
01/01/2017 10:40,13.79,76.75,1.39,76.68,319.77,26523.84,21671.73,17739.49
01/01/2017 10:50,14.5,71.49,6.41,293.11,277.88,25393.4,22487.63,17335.02
01/01/2017 11:00,11.3,85.59,1.82,252.94,108.86,24702.22,22530.34,17066.03
01/01/2017 11:10,13.14,69.96,3.46,305.73,236.09,26276.85,20472.71,17159.61
01/01/2017 11:20,11.59,74.57,8.97,9.06,144.39,25675.0,21822.88,17025.82
01/01/2017 11:30,9.33,77.07,4.74,436.06,36.63,24748.05,21810.64,17289.52
01/01/2017 11:40,11.15,83.26,6.68,466.06,366.93,23931.43,20931.34,17223.38
01/01/2017 11:50,13.34,68.49,1.72,282.57,54.73,26002.89,22204.91,17080.08
01/01/2017 12:00,10.07,81.08,1.92,348.33,380.09,25718.74,20934.78,17303.28
01/01/2017 12:10,13.18,74.9,0.41,461.25,178.4,24927.13,21121.5,17730.17
01/01/2017 12:20,4.77,69.51,1.69,353.62,74.05,26850.53,20864.66,17572.07
01/01/2017 12:30,11.65,76.28,2.79,76.27,216.76,23931.32,21013.58,16109.9
01/01/2017 12:40,10.21,74.51,1.77,288.14,349.18,23493.31,20138.05,15478.95
01/01/2017 12:50,9.51,70.04,0.89,303.36,292.89,24364.22,19892.86,17594.27
01/01/2017 13:00,10.41,72.91,1.21,212.07,322.62,25067.54,22366.1,16247.75
01/01/2017 13:10,6.4,70.13,4.61,368.22,263.51,25432.94,20474.11,16978.9
01/01/2017 13:20,10.13,72.12,2.06,467.18,276.91,25044.02,20435.09,16469.09
01/01/2017 13:30,11.51,74.34,3.64,462.78,339.68,25751.76,19597.05,16158.64
01/01/2017 13:40,14.02,78.43,5.03,225.42,99.87,24280.95,20914.83,17644.37
01/01/2017 13:50,10.33,63.77,6.9,56.62,195.77,27126.85,20488.0,17865.35
01/01/2017 14:00,10.08,80.07,0.39,492.42,88.48,25768.74,22994.33,17164.63
01/01/2017 14:10,11.07,59.08,7.99,419.45,395.07,27152.53,22636.04,16066.52
01/01/2017 14:20,14.3,67.51,6.28,62.33,377.62,26578.11,21437.79,17413.48
01/01/2017 14:30,13.56,70.63,0.82,460.42,15.77,26907.29,23962.38,18105.41
01/01/2017 14:40,12.3,68.51,8.74,434.95,282.23,27249.61,23129.29,17120.56
01/01/2017 14:50,14.87,63.4,9.21,259.42,370.1,27370.09,22278.04,18263.45
01/01/2017 15:00,14.55,64.87,0.61,295.64,72.23,27819.91,20742.23,18297.13
01/01/2017 15:10,16.82,62.84,2.77,199.5,227.18,28772.4,24787.36,18813.53
01/01/2017 15:20,14.03,61.75,8.06,27.38,366.2,27916.03,22063.95,18703.45
01/01/2017 15:30,15.35,68.32,7.48,167.6,13.58,28713.85,22087.56,18219.07
01/01/2017 15:40,15.81,65.24,1.85,401.43,278.97,28208.41,24456.57,19696.83
01/01/2017 15:50,14.27,59.37,2.09,2.32,118.94,30038.34,25830.38,19063.82
01/01/2017 16:00,18.4,66.7,3.7,166.75,369.76,28227.5,25230.53,19325.95
01/01/2017 16:10,18.95,63.11,4.85,199.08,388.42,31014.87,24822.27,18968.4
01/01/2017 16:20,19.06,65.01,6.18,268.7,377.71,29486.94,25097.48,19450.29
01/01/2017 16:30,19.22,63.46,3.69,459.93,189.69,28411.38,25556.46,19374.41
01/01/2017 16:40,17.48,55.54,4.63,173.17,344.82,30285.95,25733.42,19990.94
01/01/2017 16:50,20.1,56.25,7.47,173.48,337.82,29791.85,25603.27,21310.76
01/01/2017 17:00,20.89,62.16,0.37,368.75,127.64,31626.71,25712.22,19648.5
01/01/2017 17:10,20.59,60.85,2.52,226.11,331.57,30443.48,25826.81,19689.53
01/01/2017 17:20,22.48,57.06,7.13,112.3,14.8,30955.59,25518.25,21723.77
01/01/2017 17:30,24.21,57.13,8.95,226.22,238.51,29812.32,26136.95,20895.52
01/01/2017 17:40,27.76,62.31,5.12,70.43,92.0,31542.85,25241.76,20795.65
01/01/2017 17:50,24.91,52.35,5.32,88.19,48.23,29856.62,26745.72,21992.24
01/01/2017 18:00,25.63,57.43,1.07,249.18,30.78,30972.85,26254.53,21170.68
01/01/2017 18:10,25.5,53.08,4.47,209.46,278.52,33583.22,26375.38,22789.29
01/01/2017 18:20,22.32,52.4,5.33,457.42,135.95,33863.42,27606.01,22253.33
01/01/2017 18:30,26.59,58.39,2.42,181.2,289.91,33745.61,28769.73,21699.35
01/01/2017 18:40,27.22,56.44,2.69,290.29,26.14,32582.48,28574.22,23424.06
01/01/2017 18:50,32.46,55.8,3.77,316.13,126.12,33716.9,26755.29,21895.34
01/01/2017 19:00,27.54,57.69,0.2,6.55,215.8,33961.16,27380.11,22824.12
01/01/2017 19:10,28.9,50.7,3.22,331.77,316.29,32990.74,29071.9,22669.04
01/01/2017 19:20,28.56,53.46,2.11,89.02,127.5,35820.31,27667.54,23371.19
01/01/2017 19:30,26.6,47.95,3.27,480.54,250.36,35344.87,28394.3,23617.41
01/01/2017 19:40,31.49,50.59,1.2,74.33,354.39,34379.33,29120.28,22779.38
01/01/2017 19:50,30.93,47.8,8.91,207.31,246.35,34741.63,27997.12,22376.79
01/01/2017 20:00,31.2,48.42,5.94,42.67,93.18,35018.78,28932.62,23162.22
01/01/2017 20:10,27.95,50.42,6.79,498.44,9.76,32845.14,27842.28,22525.5
01/01/2017 20:20,32.69,42.87,7.89,251.1,348.04,34696.7,28474.0,24174.36
01/01/2017 20:30,27.16,56.95,4.98,297.69,8.51,34299.18,29240.76,23070.62
01/01/2017 20:40,31.17,41.0,0.87,33.54,349.88,33996.98,27724.48,22779.97
01/01/2017 20:50,34.37,39.51,5.37,374.98,211.57,34715.01,29349.26,23108.47
01/01/2017 21:00,27.97,50.94,5.87,104.95,375.63,36771.39,28963.25,22175.94
01/01/2017 21:10,28.73,48.69,7.45,449.03,319.51,35572.31,29387.16,22375.91
01/01/2017 21:20,29.94,47.46,4.32,102.57,399.17,34298.39,29074.79,23641.99
01/01/2017 21:30,28.57,47.09,1.28,95.34,140.28,35360.85,29921.93,22478.82
01/01/2017 21:40,26.27,43.52,2.84,18.27,306.88,36087.23,28850.48,22184.58
01/01/2017 21:50,29.27,38.74,3.63,236.03,160.77,35493.43,28311.51,23063.27
01/01/2017 22:00,26.74,43.27,6.46,282.42,191.95,34491.14,28643.04,23370.33
01/01/2017 22:10,29.5,39.19,5.71,32.85,251.0,33629.61,28855.88,22997.3
01/01/2017 22:20,26.37,47.15,3.56,387.76,349.47,34802.77,28322.72,23060.36
01/01/2017 22:30,30.93,41.26,9.87,226.64,393.63,34309.66,28165.42,21895.63
01/01/2017 22:40,25.86,37.6,6.06,262.2,307.31,34607.39,27408.17,21374.23
01/01/2017 22:50,26.34,39.87,2.37,220.38,167.11,34128.6,27264.42,22996.86
01/01/2017 23:00,28.15,43.31,1.02,200.38,168.54,34310.28,26486.5,21762.83
01/01/2017 23:10,23.57,38.22,1.53,279.82,295.03,32479.79,28811.68,21658.52
01/01/2017 23:20,25.97,36.74,2.46,77.62,95.51,34074.7,26210.76,22451.3
01/01/2017 23:30,27.59,41.89,1.61,90.96,44.19,32686.2,26436.55,21826.9
01/01/2017 23:40,21.2,41.75,1.87,430.89,141.85,34285.23,26193.25,21599.51
01/01/2017 23:50,24.21,37.85,2.85,473.06,114.9,31233.34,27253.96,22452.52
01/02/2017 00:00,23.77,37.92,1.73,186.65,118.52,33363.39,26065.98,20590.34
01/02/2017 00:10,24.22,41.34,8.97,135.37,93.44,31523.75,27058.86,21352.21
01/02/2017 00:20,19.56,32.86,0.8,322.0,16.84,30367.54,25276.38,20645.58
01/02/2017 00:30,18.78,33.01,5.25,204.37,7.15,30224.14,25789.61,20585.97
01/02/2017 00:40,21.83,36.42,4.1,12.69,395.09,30073.92,24647.13,21153.64
01/02/2017 00:50,20.75,38.93,9.82,78.08,171.11,30503.1,26779.26,20352.06
01/02/2017 01:00,20.03,41.56,1.12,357.99,153.73,30286.12,23860.55,20180.95
01/02/2017 01:10,19.59,47.41,3.98,329.46,271.86,28874.88,24806.72,20312.65
01/02/2017 01:20,16.91,44.36,9.69,13.55,87.3,29111.72,24815.88,19262.68
01/02/2017 01:30,18.12,39.34,8.66,110.99,379.98,30969.29,24392.65,18792.68
01/02/2017 01:40,17.63,40.13,8.17,115.54,314.54,30250.18,23669.88,18486.69
01/02/2017 01:50,15.02,35.32,2.58,335.95,35.76,28660.46,23475.45,17754.67
01/02/2017 02:00,19.6,40.36,1.71,9.86,167.03,27970.72,23381.23,19993.36
01/02/2017 02:10,16.25,39.15,6.69,52.05,351.65,27769.58,23002.03,17927.8
01/02/2017 02:20,12.37,42.37,9.29,399.96,377.89,27989.26,23671.69,18292.69
01/02/2017 02:30,15.54,36.8,5.57,89.27,186.96,26089.6,24458.33,18101.35
01/02/2017 02:40,11.77,43.74,5.72,326.37,245.36,26603.18,22042.45,18300.78
01/02/2017 02:50,14.82,49.02,2.8,119.09,66.81,24952.66,21201.15,18462.19
01/02/2017 03:00,15.11,41.06,7.69,49.72,396.47,26794.61,22045.69,18353.52
01/02/2017 03:10,10.73,43.86,1.87,121.59,92.67,26831.1,24010.89,17360.5
01/02/2017 03:20,13.9,45.58,3.24,361.13,377.09,25504.45,21147.17,17492.31
01/02/2017 03:30,12.44,40.42,4.25,427.85,259.86,27381.35,22957.18,17653.97
01/02/2017 03:40,12.93,43.85,5.08,415.11,243.09,24418.04,22857.2,17237.07
01/02/2017 03:50,14.79,43.12,2.42,198.59,205.08,24033.23,20955.21,18262.97
01/02/2017 04:00,10.25,43.89,1.15,334.04,92.27,25593.81,21750.67,17516.2
01/02/2017 04:10,9.01,39.9,6.11,102.49,70.61,26306.66,22510.37,17596.67
01/02/2017 04:20,8.56,44.26,2.89,146.57,88.19,26852.6,20831.64,17498.93
01/02/2017 04:30,8.56,47.02,5.81,448.17,74.58,24638.15,20914.77,17762.31
01/02/2017 04:40,9.94,52.2,1.54,6.5,311.83,26123.63,20570.61,17135.58
01/02/2017 04:50,10.71,50.16,4.81,42.75,140.05,24974.1,20198.28,16229.47
01/02/2017 05:00,10.55,56.57,5.33,103.94,23.14,24827.53,20480.7,17239.91
01/02/2017 05:10,11.67,42.42,0.52,13.27,387.64,25891.29,20026.95,16613.76
01/02/2017 05:20,10.1,51.08,3.37,90.72,353.51,25687.33,21055.27,16703.83
01/02/2017 05:30,13.07,48.11,1.34,291.52,371.1,23505.78,20449.76,17401.12
01/02/2017 05:40,9.77,58.64,0.63,210.71,397.96,26625.49,21306.19,17832.34
01/02/2017 05:50,15.91,44.15,9.9,446.34,69.56,26615.15,19943.33,17153.8
01/02/2017 06:00,11.93,44.51,3.22,408.72,158.5,24714.6,21536.83,17389.4
01/02/2017 06:10,9.21,46.24,8.1,170.91,303.3,25859.64,22037.89,18299.63
01/02/2017 06:20,9.07,39.15,2.55,129.71,278.41,26099.63,19889.49,17507.81
01/02/2017 06:30,12.49,47.69,6.82,189.85,61.56,26025.55,21911.15,19019.94
01/02/2017 06:40,11.44,47.08,7.6,295.15,326.33,25390.74,22734.97,17903.93
01/02/2017 06:50,13.69,52.2,5.96,134.03,89.78,25461.76,20938.99,16623.57
01/02/2017 07:00,13.63,53.73,4.72,312.07,89.53,26315.58,23410.97,18256.69
01/02/2017 07:10,12.98,61.98,4.12,204.71,214.79,27736.21,22586.0,18166.78
01/02/2017 07:20,11.91,57.94,3.49,276.02,237.18,27343.12,21875.61,18853.56
01/02/2017 07:30,11.07,50.91,9.3,218.06,232.03,26677.7,22594.04,18632.9
01/02/2017 07:40,13.72,49.9,8.31,147.23,36.59,28080.58,23293.77,18302.25
01/02/2017 07:50,16.87,57.46,9.65,474.23,350.98,24731.63,23124.94,17813.52
01/02/2017 08:00,16.15,49.01,1.24,381.8,106.24,29009.88,23719.89,18591.25
01/02/2017 08:10,13.81,65.39,7.31,70.06,51.81,26410.86,22783.92,18380.03
01/02/2017 08:20,17.24,62.75,9.38,434.23,355.5,28084.97,23893.42,18720.13
01/02/2017 08:30,18.27,55.13,1.81,243.72,382.26,27630.77,22869.38,19603.41
01/02/2017 08:40,16.35,49.54,0.66,447.28,344.85,27763.76,24157.77,20437.01
01/02/2017 08:50,19.05,65.51,7.41,399.93,323.81,30531.03,23773.04,19858.92
01/02/2017 09:00,19.49,58.8,5.74,212.61,262.1,29216.77,24159.15,19093.15
01/02/2017 09:10,17.71,66.19,8.42,11.23,220.34,30346.5,25988.87,20266.76
